Levier,Levier_court,Chantier associé,Objectif du levier,Δ GES 2030,Δ GES 2040,Δ GES 2050
Eradication des passoires thermiques,Passoires therm.,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,,,,
Sobriété et efficacité énergétique dans le tertiaire,Efficacité tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,,,,
Sortie des chaudières au fioul (tertiaire),Fioul tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,,,,
Sortie progressive des chaudières au gaz (tertiaire),Gaz tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,,,,
Développement de l'usage de matériaux biosourcés dans la construction et rénovation,Constr. biosourcée,Se loger / Généraliser les pratiques durables de construction et rénovation,,,,
Végétalisation et accueil des espèces dans le bâti,Végétalisation bâti,Se loger / Généraliser les pratiques durables de construction et rénovation,,,,
Eradication des bouilloires thermiques,Bouilloires therm.,Se loger / Généraliser les pratiques durables de construction et rénovation,,,,
Réduction des volumes et valorisation des déchets de la construction,Déchets construc.,Consommer / Développer la consommation responsable,,,,
Restauration des capacités de production nucléaire,Elec. nucléaire,Produire / Accroitre notre production d'électricité décarbonée,,,,
Développement de la production d'électricité renouvelable,Elec. renouvelable,Produire / Accroitre notre production d'électricité décarbonée,,,,
Développement des réseaux de chaleur urbains,Réseaux de chaleur,Produire / Développer les réseaux de chaleur et de froid renouvelables,,,,
Décarbonation de la production de chaleur,Décarb. chaleur,Produire / Développer les réseaux de chaleur et de froid renouvelables,,,,
Développement des réseaux de froid,Réseaux de froid,Produire / Développer les réseaux de chaleur et de froid renouvelables,,,,
Développement des puits technologiques dans l'énergie,Puits technologiques,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,,,,
Développement de la production de biogaz et orientation vers les usages prioritaires,Prod. biogaz,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,,,,
Développement de la production de biocarburant et orientation vers les usages prioritaires,Prod. biocarburants,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,,,,
Développement de la production de biomasse solide à vocation énergétique de qualité et orientation vers les usages prioritaires,Prod. biomasse én.,Produire / Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,,,,
Réduction de l'utilisation matière des produits pétroliers,Prod. plastiques,Produire / Réduire la consommation de matière de l'industrie,,,,
Incorporation de matières recyclées,Matériaux recyclés,Produire / Réduire la consommation de matière de l'industrie,,,,
Amélioration de l'efficacité énergétique industrielle (dont récupération de chaleur),Efficacité industrielle,Produire / Réduire l'usage d'énergie fossile de l'industrie,,,,
Electrification des sources d'énergie,Electrification indus.,Produire / Réduire l'usage d'énergie fossile de l'industrie,,,,
Utilisation de la biomasse et des combustibles solides de récupération comme source d'énergie industrielle,Biomasse industrie,Produire / Réduire l'usage d'énergie fossile de l'industrie,,,,
Captage de CO₂ à la sortie des procédés industriels émetteurs,Captage industrie,Produire / Décarboner les procédés industriels les plus émissifs,,,,
Réduction des émissions du raffinage,Raffinage,Produire / Décarboner les procédés industriels les plus émissifs,,,,
Modification des procédés de fabrication,Procédés industriels,Produire / Décarboner les procédés industriels les plus émissifs,,,,
Abattement des gaz fluorés (tous secteurs),Gaz fluorés,Produire / Réduire les fuites de gaz à effet de serre et polluants,,,,
Contrôle des émissions industrielles de polluants atmosphériques,Polluants industrie,Produire / Réduire les fuites de gaz à effet de serre et polluants,,,,
Sortie du plastique jetable,Plastique jetable,Consommer / Développer la consommation responsable,,,,
Développement de la mutualisation et de l'économie de la fonctionnalité,Modèles éco. circ.,Consommer / Développer la consommation responsable,,,,
Développement de la consommation sans emballages primaires,Conso. vrac,Consommer / Développer la consommation responsable,,,,
"Augmentation de la durée de vie des équipements (lutte contre l'obsolesence, développement de la réparation)",Réparation,Consommer / Développer la consommation responsable,,,,
Développement du réemploi et de la réutilisation,Réemploi et réut.,Consommer / Développer la consommation responsable,,,,
Amélioration de la collecte et du tri des déchets,Collecte et tri,Consommer / Réduire l'impact environnemental des déchets produits,,,,
Développement de la valorisation matière des déchets,Valorisation matière,Consommer / Réduire l'impact environnemental des déchets produits,,,,
