Levier,Levier_court,Chantier associé,Leviers territoriaux,Com sur le levier territorial,Objectif du levier,Δ GES 2030,Δ GES 2040,Δ GES 2050
Mobilisation des surfaces déjà artificialisées,Densification bâti,Préserver / Lutter contre l'artificialisation nette des sols,true,"sous ""sobriété foncière""",,,,
Réduction de la vacance,Vacance,Préserver / Lutter contre l'artificialisation nette des sols,true,"sous ""sobriété foncière""",,,,
Densification de la construction neuve,Densif. construction,Préserver / Lutter contre l'artificialisation nette des sols,true,"sous ""sobriété foncière""",,,,
"Désartificialisation, désimperméabilisation des sols artificialisés et amélioration de l'infiltration de l'eau dans les sols",Désartificialisation,Préserver / Lutter contre l'artificialisation nette des sols,true,,,,,
Développement d'un réseau d'aires protégées cohérent et résilient aux changements globaux,Aires protégées,Préserver / Développer et gérer les aires protégées,true,"""aires protégées""",,,,
Développement d'un réseau de zones de  protection forte qui intègre la diversité des milieux prioritaires et leurs fonctionnalités,Protection forte,Préserver / Développer et gérer les aires protégées,true,"""aires protégées""",,,,
"Amélioration de l'efficacité de la gestion des aires protégées, accompagner des activités durables dans les aires protégées et faire des aires protégées intégrées dans les territoires",Gestion aires,Préserver / Développer et gérer les aires protégées,false,,,,,
Résorption des points noirs prioritaires de continuité écologique terrestre,Continuité écologique,Préserver / Restaurer les écosystèmes dégradés,true,,,,,
Réduction des obstacles à l'écoulement,Obstacles écoulement,Préserver / Restaurer les écosystèmes dégradés,false,,,,,
Restauration des zones humides (dont tourbières),Zones humides,Préserver / Restaurer les écosystèmes dégradés,true,,,,,
Restauration des habitats d'intérêt communautaire,Restau. hab. d'int.,Préserver / Restaurer les écosystèmes dégradés,true,"""restauration des espaces naturels""",,,,
Rétablissement de la surface des habitats d'intérêt communautaire pour atteindre la surface de référence favorable,Surface. hab. d'int.,Préserver / Restaurer les écosystèmes dégradés,true,"""restauration des espaces naturels""",,,,
Protection des espèces menacées,Espèces menacées,Préserver / Restaurer les écosystèmes dégradés,false,,,,,
Limitation de l'introduction et lutter contre les espèces exotiques envahissantes,Esp. exo. envahi.,"Préserver / Réduire les autres pressions sur la biodiversité (pollution lumineuse, EEE)",true,,,,,
Lutte contre la pollution lumineuse,Pollution lumineuse,"Préserver / Réduire les autres pressions sur la biodiversité (pollution lumineuse, EEE)",false,,,,,
Prévention des inondations,Prév. inondations,Se loger / Généraliser la prévention des risques naturels dus au changement climatique,true,,,,,
Renaturation des villes et réduction de l'effet d'îlot de chaleur urbain,Renaturation,Se loger / Généraliser la prévention des risques naturels dus au changement climatique,true,,1000 ha renaturés par an à partir de 2022 sur financement de l'Etat (fonds vert),,,
Protection et mise à l'abri des personnes vulnérables,Pers. vulnérables,Se loger / Généraliser la prévention des risques naturels dus au changement climatique,true,,,,,
Prévention des dégâts causés par le retrait-gonflement des argiles,RGA,Se loger / Adapter l'aménagement du territoire aux conséquences structurelles du changement climatique,true,,,,,
